iter	Passed	Remaining
835	15649	3069
836	15665	3050
837	15680	3031
838	15694	3011
839	15731	2996
840	15743	2976
841	15762	2957
842	15778	2938
843	15792	2918
844	15810	2900
845	15828	2881
846	15854	2863
847	15898	2849
848	15933	2833
849	15964	2817
850	15976	2797
851	16011	2781
852	16024	2761
853	16041	2742
854	16058	2723
855	16074	2704
856	16097	2685
857	16117	2667
858	16130	2647
859	16153	2629
860	16164	2609
861	16176	2589
862	16193	2570
863	16216	2552
864	16234	2533
865	16253	2514
866	16268	2495
867	16285	2476
868	16298	2456
869	16331	2440
870	16346	2420
871	16358	2401
872	16382	2383
873	16400	2364
874	16415	2345
875	16427	2325
876	16438	2305
877	16451	2285
878	16475	2267
879	16496	2249
880	16514	2230
881	16529	2211
882	16546	2192
883	16561	2173
884	16577	2154
885	16590	2134
886	16602	2115
887	16614	2095
888	16626	2075
889	16646	2057
890	16659	2037
891	16672	2018
892	16687	1999
893	16698	1979
894	16711	1960
895	16726	1941
896	16737	1921
897	16751	1902
898	16763	1883
899	16774	1863
900	16791	1845
901	16828	1828
902	16867	1811
903	16884	1793
904	16902	1774
905	16921	1755
906	16935	1736
907	16950	1717
908	16965	1698
909	16977	1679
910	17023	1663
911	17034	1643
912	17049	1624
913	17066	1605
914	17078	1586
915	17096	1567
916	17118	1549
917	17135	1530
918	17147	1511
919	17164	1492
920	17183	1473
921	17199	1455
922	17219	1436
923	17235	1417
924	17249	1398
925	17266	1379
926	17282	1360
927	17293	1341
928	17307	1322
929	17326	1304
930	17343	1285
931	17356	1266
932	17376	1247
933	17391	1228
934	17412	1210
935	17425	1191
936	17439	1172
937	17454	1153
938	17469	1134
939	17482	1115
940	17495	1096
941	17507	1077
942	17530	1059
943	17562	1041
944	17576	1022
945	17606	1004
946	17623	986
947	17636	967
948	17648	948
949	17661	929
950	17678	910
951	17701	892
952	17724	874
953	17737	855
954	17759	836
955	17779	818
956	17789	799
957	17810	780
958	17827	762
959	17842	743
960	17891	726
961	17920	707
962	17936	689
963	17979	671
964	17998	652
965	18009	633
966	18031	615
967	18046	596
968	18058	577
969	18125	560
970	18146	541
971	18211	524
972	18225	505
973	18258	487
974	18301	469
975	18315	450
976	18330	431
977	18368	413
978	18379	394
979	18401	375
980	18456	357
981	18467	338
982	18486	319
983	18498	300
984	18514	281
985	18555	263
986	18575	244
987	18586	225
988	18606	206
989	18616	188
990	18629	169
991	18651	150
992	18662	131
993	18677	112
994	18719	94
995	18733	75
996	18753	56
997	18773	37
998	18794	18
999	18805	0
